product_id;product_name;category;warehouse_location;stock_level;reorder_point;supplier_name;supplier_country;lead_time_days;delay_days;demand_per_week;order_quantity;price_usd;last_restock_date;risk_level
P00000;Electronics Item 0;electronics;New York;759;80;GlobalTech GmbH;Germany;5;3;130;396;1482.63;12/07/2025;low
P00001;Electronics Item 1;electronics;Sydney;432;18;Samsung Electronics;South Korea;7;1;20;308;1206.03;28/07/2025;low
P00002;Food Item 2;food;Toronto;429;66;TechSource Inc.;USA;9;9;234;438;1612.61;15/12/2025;high
P00003;Furniture Item 3;furniture;London;284;49;GlobalTech GmbH;Germany;4;5;115;244;197.95;18/12/2024;medium
P00004;Clothing Item 4;clothing;New York;747;127;Sony Corp.;Japan;30;1;279;90;1106.32;05/10/2025;low
P00005;Clothing Item 5;clothing;Sydney;196;190;Samsung Electronics;South Korea;22;0;40;445;582.33;22/03/2024;low
P00006;Food Item 6;food;Berlin;389;81;IKEA Supply;Sweden;27;10;237;133;743.51;02/08/2024;high
P00007;Clothing Item 7;clothing;Berlin;623;172;Samsung Electronics;South Korea;24;8;92;133;927.21;03/10/2024;high
P00008;Food Item 8;food;London;863;24;IKEA Supply;Sweden;26;0;122;255;539.14;04/08/2024;low
P00009;Clothing Item 9;clothing;Dubai;671;137;Nestlé S.A.;Switzerland;15;10;207;185;283.56;01/02/2026;high
P00010;Clothing Item 10;clothing;Sydney;438;159;Nestlé S.A.;Switzerland;8;5;209;310;989.56;12/02/2026;medium
P00011;Electronics Item 11;electronics;Berlin;156;170;Cargill Inc.;USA;14;10;86;82;772.61;02/09/2025;high
P00012;Furniture Item 12;furniture;Toronto;257;151;GlobalTech GmbH;Germany;22;0;445;399;1770.15;07/02/2026;low
P00013;Clothing Item 13;clothing;London;114;85;TechSource Inc.;USA;15;2;227;419;1752.33;26/09/2024;low
P00014;Food Item 14;food;Toronto;934;37;Adidas AG;Germany;10;10;450;361;401.83;17/01/2025;high
P00015;Food Item 15;food;Toronto;976;145;IKEA Supply;Sweden;20;0;475;300;43.86;06/01/2025;low
P00016;Clothing Item 16;clothing;Dubai;59;71;GlobalTech GmbH;Germany;3;9;454;424;974.55;11/03/2024;high
P00017;Food Item 17;food;Shanghai;675;131;Apple Inc.;USA;6;8;489;320;1745.5;09/03/2025;high
P00018;Food Item 18;food;Toronto;773;196;Apple Inc.;USA;23;3;358;254;1990.32;27/10/2025;low
P00019;Clothing Item 19;clothing;Casablanca;921;142;Samsung Electronics;South Korea;8;1;236;82;679.48;25/08/2025;low
P00020;Food Item 20;food;Sydney;225;11;Samsung Electronics;South Korea;2;10;41;84;1811.31;04/12/2024;high
P00021;Electronics Item 21;electronics;Toronto;243;81;Adidas AG;Germany;7;7;347;117;1448.09;07/08/2025;high
P00022;Furniture Item 22;furniture;Dubai;803;131;GlobalTech GmbH;Germany;7;6;418;99;1319.67;28/12/2024;medium
P00023;Furniture Item 23;furniture;Tokyo;478;196;GlobalTech GmbH;Germany;21;10;32;81;808.23;13/12/2024;high
P00024;Electronics Item 24;electronics;Dubai;196;58;Sony Corp.;Japan;5;7;279;143;560.7;12/09/2024;high
P00025;Electronics Item 25;electronics;Casablanca;827;150;Adidas AG;Germany;21;0;55;478;34.44;05/04/2024;low
P00026;Food Item 26;food;Shanghai;416;134;Sony Corp.;Japan;28;3;251;80;333.45;03/01/2024;low
P00027;Furniture Item 27;furniture;Paris;948;126;Adidas AG;Germany;23;6;151;388;1438.22;07/06/2024;medium
P00028;Food Item 28;food;Paris;222;24;IKEA Supply;Sweden;2;8;301;79;105.03;03/05/2025;high
P00029;Food Item 29;food;New York;983;140;Cargill Inc.;USA;3;2;46;84;1352.05;28/08/2024;low
P00030;Furniture Item 30;furniture;Berlin;964;155;TechSource Inc.;USA;20;9;131;367;168.56;04/11/2025;high
P00031;Clothing Item 31;clothing;Paris;209;181;Apple Inc.;USA;8;5;371;252;266.1;22/10/2025;medium
P00032;Clothing Item 32;clothing;Casablanca;323;28;Cargill Inc.;USA;20;7;9;101;151.16;06/08/2024;high
P00033;Clothing Item 33;clothing;Shanghai;955;99;Samsung Electronics;South Korea;29;1;456;239;573.55;24/03/2025;low
P00034;Clothing Item 34;clothing;Sydney;826;177;Adidas AG;Germany;22;0;275;203;1863.85;16/04/2024;low
P00035;Food Item 35;food;Paris;118;37;Apple Inc.;USA;5;8;385;194;1211.64;04/01/2026;high
P00036;Clothing Item 36;clothing;Dubai;703;172;Nike Inc.;USA;17;4;441;178;1811.15;22/02/2024;medium
P00037;Electronics Item 37;electronics;Tokyo;849;80;Nestlé S.A.;Switzerland;11;0;27;376;1959.7;14/06/2024;low
P00038;Furniture Item 38;furniture;Toronto;722;119;GlobalTech GmbH;Germany;4;0;292;403;1808.34;12/07/2025;low
P00039;Electronics Item 39;electronics;London;596;151;TechSource Inc.;USA;5;6;80;207;732.48;26/03/2026;medium
P00040;Electronics Item 40;electronics;London;215;184;IKEA Supply;Sweden;4;10;132;449;1121.97;20/02/2025;high
P00041;Food Item 41;food;Dubai;885;51;Sony Corp.;Japan;29;2;414;62;362.82;06/12/2024;low
P00042;Furniture Item 42;furniture;Dubai;273;50;TechSource Inc.;USA;13;1;408;489;944.03;23/07/2024;low
P00043;Furniture Item 43;furniture;London;312;68;Samsung Electronics;South Korea;22;0;119;254;659.88;12/03/2024;low
P00044;Clothing Item 44;clothing;London;656;140;Adidas AG;Germany;27;10;209;219;1878.78;28/04/2024;high
P00045;Clothing Item 45;clothing;Shanghai;594;77;Sony Corp.;Japan;20;1;24;226;1458.45;17/11/2024;low
P00046;Furniture Item 46;furniture;Sydney;523;39;Apple Inc.;USA;7;9;202;72;1419.03;02/01/2024;high
P00047;Food Item 47;food;London;441;27;IKEA Supply;Sweden;30;10;490;369;631.26;07/05/2024;high
P00048;Clothing Item 48;clothing;Toronto;316;180;Apple Inc.;USA;13;5;214;333;258.94;06/03/2025;medium
P00049;Furniture Item 49;furniture;Shanghai;630;155;TechSource Inc.;USA;18;6;159;205;577.39;16/03/2025;medium
P00050;Clothing Item 50;clothing;Casablanca;452;123;Nike Inc.;USA;17;3;350;456;1802.86;26/03/2026;low
P00051;Food Item 51;food;Berlin;290;141;IKEA Supply;Sweden;20;10;344;97;1637.75;08/02/2026;high
P00052;Food Item 52;food;Paris;230;60;Samsung Electronics;South Korea;2;0;80;293;1224.49;25/02/2026;low
P00053;Electronics Item 53;electronics;Casablanca;424;171;Sony Corp.;Japan;23;3;299;303;802.31;31/05/2024;low
P00054;Electronics Item 54;electronics;Berlin;797;118;Adidas AG;Germany;26;2;117;287;105.19;12/09/2024;low
P00055;Electronics Item 55;electronics;Casablanca;136;128;Cargill Inc.;USA;18;8;346;212;1900.33;29/03/2025;high
P00056;Furniture Item 56;furniture;Toronto;456;50;Apple Inc.;USA;15;7;385;434;498.24;14/10/2025;high
P00057;Clothing Item 57;clothing;Toronto;496;170;GlobalTech GmbH;Germany;15;4;127;415;575.03;05/10/2024;medium
P00058;Clothing Item 58;clothing;London;914;148;Samsung Electronics;South Korea;5;2;46;246;1389.43;24/12/2025;low
P00059;Food Item 59;food;Berlin;424;114;Sony Corp.;Japan;15;8;174;81;417.63;06/03/2025;high
P00060;Furniture Item 60;furniture;Sydney;968;188;Nike Inc.;USA;13;9;15;53;1885.77;01/11/2024;high
P00061;Furniture Item 61;furniture;Tokyo;551;198;Samsung Electronics;South Korea;29;9;284;299;442.75;22/03/2025;high
P00062;Furniture Item 62;furniture;New York;398;96;Sony Corp.;Japan;26;10;347;420;334.26;23/04/2025;high
P00063;Food Item 63;food;Sydney;546;16;Cargill Inc.;USA;19;6;469;389;59.07;20/10/2025;medium
P00064;Furniture Item 64;furniture;Shanghai;887;128;Sony Corp.;Japan;9;0;98;217;427.26;30/11/2024;low
P00065;Clothing Item 65;clothing;Tokyo;284;117;TechSource Inc.;USA;16;1;134;433;1081.14;24/12/2024;low
P00066;Food Item 66;food;Berlin;799;176;Samsung Electronics;South Korea;8;0;25;479;45.66;05/06/2024;low
P00067;Food Item 67;food;Shanghai;484;181;Nike Inc.;USA;7;9;63;408;516.21;12/01/2025;high
P00068;Food Item 68;food;Sydney;621;193;GlobalTech GmbH;Germany;10;2;63;346;56.23;15/11/2024;low
P00069;Furniture Item 69;furniture;Tokyo;964;193;Samsung Electronics;South Korea;19;1;106;102;1395.9;04/11/2024;low
P00070;Electronics Item 70;electronics;Sydney;801;20;IKEA Supply;Sweden;14;8;182;85;1014.39;15/12/2024;high
P00071;Electronics Item 71;electronics;Tokyo;842;135;Nike Inc.;USA;12;6;59;412;310.22;29/06/2024;medium
P00072;Clothing Item 72;clothing;Sydney;827;147;Sony Corp.;Japan;15;7;401;472;1463.4;01/10/2024;high
P00073;Clothing Item 73;clothing;Dubai;850;32;Nike Inc.;USA;8;7;147;341;1222.61;23/01/2025;high
P00074;Clothing Item 74;clothing;New York;506;93;IKEA Supply;Sweden;7;7;98;458;520.41;13/10/2024;high
P00075;Clothing Item 75;clothing;Toronto;10;142;Samsung Electronics;South Korea;3;3;490;418;815.82;22/07/2025;high
P00076;Food Item 76;food;Casablanca;661;192;TechSource Inc.;USA;26;7;256;97;592.0;18/02/2025;high
P00077;Food Item 77;food;Paris;679;158;Adidas AG;Germany;18;7;193;226;853.88;02/02/2026;high
P00078;Clothing Item 78;clothing;London;719;126;Samsung Electronics;South Korea;9;4;143;111;1443.96;19/11/2024;medium
P00079;Electronics Item 79;electronics;Toronto;973;186;Nike Inc.;USA;7;3;99;191;1450.55;17/02/2026;low
P00080;Clothing Item 80;clothing;Berlin;852;59;Nestlé S.A.;Switzerland;12;3;156;204;33.23;30/06/2025;low
P00081;Food Item 81;food;Paris;46;23;Nestlé S.A.;Switzerland;23;4;288;376;1737.58;17/05/2025;medium
P00082;Electronics Item 82;electronics;New York;587;82;IKEA Supply;Sweden;15;7;245;144;1931.17;15/09/2024;high
P00083;Furniture Item 83;furniture;Berlin;841;26;Cargill Inc.;USA;3;7;210;372;1374.47;04/06/2024;high
P00084;Food Item 84;food;Sydney;971;87;Adidas AG;Germany;4;3;48;441;835.27;02/09/2025;low
P00085;Food Item 85;food;Toronto;389;125;Cargill Inc.;USA;10;7;470;269;614.23;27/09/2025;high
P00086;Electronics Item 86;electronics;Sydney;983;199;Samsung Electronics;South Korea;21;3;55;185;1322.55;09/06/2024;low
P00087;Food Item 87;food;Shanghai;565;29;Nike Inc.;USA;14;0;85;402;1189.65;25/10/2024;low
P00088;Electronics Item 88;electronics;Dubai;295;190;Samsung Electronics;South Korea;3;7;149;185;1576.72;02/10/2025;high
P00089;Food Item 89;food;Tokyo;117;149;Apple Inc.;USA;5;10;120;473;288.76;02/03/2024;high
P00090;Food Item 90;food;Paris;609;155;GlobalTech GmbH;Germany;15;4;476;289;1378.91;17/12/2025;medium
P00091;Furniture Item 91;furniture;Paris;512;148;Cargill Inc.;USA;3;7;257;70;1779.4;22/01/2026;high
P00092;Clothing Item 92;clothing;Sydney;256;16;Cargill Inc.;USA;22;3;51;350;1901.82;22/02/2026;low
P00093;Clothing Item 93;clothing;Sydney;41;54;Nike Inc.;USA;21;8;245;192;367.07;22/08/2025;high
P00094;Furniture Item 94;furniture;Casablanca;992;33;IKEA Supply;Sweden;14;5;245;214;1341.92;13/06/2024;medium
P00095;Clothing Item 95;clothing;Tokyo;710;136;Adidas AG;Germany;13;10;152;68;912.38;18/11/2024;high
P00096;Clothing Item 96;clothing;London;118;113;TechSource Inc.;USA;27;8;447;386;1739.39;18/04/2025;high
P00097;Furniture Item 97;furniture;New York;192;142;Nike Inc.;USA;25;9;190;370;886.87;22/02/2024;high
P00098;Food Item 98;food;Paris;562;43;Nike Inc.;USA;15;4;479;112;62.59;07/10/2025;medium
P00099;Food Item 99;food;Shanghai;318;151;GlobalTech GmbH;Germany;14;8;12;165;1984.55;26/04/2024;high
P00100;Furniture Item 100;furniture;Berlin;663;49;Apple Inc.;USA;17;4;260;262;1670.27;28/04/2025;medium
P00101;Food Item 101;food;Casablanca;564;47;Cargill Inc.;USA;30;3;201;310;1493.85;19/05/2024;low
P00102;Electronics Item 102;electronics;Paris;791;116;TechSource Inc.;USA;9;8;179;194;1453.47;24/08/2025;high
P00103;Furniture Item 103;furniture;Shanghai;457;147;Adidas AG;Germany;11;5;252;440;1089.14;11/04/2025;medium
P00104;Clothing Item 104;clothing;Dubai;714;71;Sony Corp.;Japan;8;6;297;72;639.76;29/04/2025;medium
